age,experience_years,daily_work_hours,sleep_hours,caffeine_intake,bugs_per_day,commits_per_day,meetings_per_day,screen_time,exercise_hours,stress_level,burnout_level
31.0,1.0,8.35,8.26,1.0,10.0,7.0,0.0,12.02,1.61,19.79,Low
25.0,18.0,6.01,5.93,0.0,16.0,9.0,9.0,9.82,1.08,37.07,Medium
21.0,18.0,5.08,4.31,4.0,4.0,19.0,0.0,6.77,1.26,19.68,Low
40.0,15.0,8.4,5.87,2.0,0.0,17.0,1.0,12.41,1.93,27.68,Low
20.0,18.0,5.23,5.04,5.0,2.0,19.0,1.0,9.13,0.18,27.93,Low
31.0,8.0,8.86,8.7,4.0,15.0,10.0,5.0,13.85,0.21,46.3,Medium
41.0,0.0,10.25,7.49,1.0,14.0,17.0,0.0,14.9,0.79,43.95,Medium
31.0,9.0,12.27,4.25,2.0,3.0,26.0,3.0,16.01,0.95,56.11,Medium
44.0,18.0,10.79,5.46,7.0,11.0,15.0,6.0,14.64,0.4,89.65,High
36.0,0.0,4.65,4.25,4.0,0.0,4.0,8.0,9.43,0.17,38.84,Medium
29.0,1.0,7.07,8.15,2.0,16.0,6.0,9.0,11.94,0.04,35.43,Medium
35.0,15.0,6.88,8.53,7.0,14.0,,2.0,11.19,1.53,30.34,Low
34.0,11.0,13.15,4.56,2.0,19.0,1.0,3.0,17.22,0.97,90.03,High
34.0,7.0,12.68,6.2,4.0,19.0,10.0,4.0,14.13,1.69,81.65,High
38.0,17.0,7.7,8.66,2.0,9.0,12.0,4.0,12.02,0.72,,Low
31.0,1.0,4.71,4.73,1.0,10.0,19.0,1.0,6.72,1.41,17.83,Low
,12.0,12.94,5.46,4.0,17.0,23.0,4.0,16.2,0.98,89.57,High
39.0,5.0,12.88,5.52,5.0,1.0,27.0,9.0,15.5,1.22,83.11,High
44.0,5.0,12.55,4.15,6.0,5.0,15.0,0.0,14.93,0.74,76.09,High
22.0,8.0,12.45,4.18,4.0,15.0,29.0,6.0,14.69,0.16,99.13,High
24.0,15.0,8.8,8.76,1.0,6.0,13.0,4.0,13.22,1.89,31.36,Low
,10.0,5.77,6.86,1.0,18.0,6.0,5.0,9.85,1.67,50.25,Medium
26.0,6.0,8.77,5.53,1.0,11.0,6.0,8.0,11.86,0.62,80.33,High
40.0,9.0,8.95,5.89,7.0,17.0,11.0,2.0,12.61,1.92,72.3,High
28.0,9.0,8.9,7.57,5.0,9.0,11.0,0.0,,0.6,59.88,Medium
26.0,19.0,9.39,5.83,5.0,6.0,19.0,7.0,11.98,0.89,69.16,Medium
37.0,,6.58,5.14,6.0,3.0,0.0,1.0,9.78,1.51,9.61,Low
23.0,19.0,7.66,4.51,6.0,16.0,22.0,1.0,10.79,0.62,77.59,
44.0,8.0,8.34,7.64,2.0,16.0,5.0,9.0,13.08,0.65,80.09,High
33.0,14.0,5.31,4.9,2.0,3.0,7.0,3.0,7.72,0.82,30.84,Low
37.0,3.0,8.55,4.35,3.0,4.0,26.0,4.0,13.5,0.94,33.53,Low
28.0,7.0,12.1,6.13,6.0,0.0,12.0,0.0,14.32,0.25,57.67,Medium
40.0,8.0,12.28,4.2,6.0,18.0,,2.0,13.72,0.03,100.0,High
21.0,12.0,8.12,8.82,2.0,10.0,23.0,7.0,9.89,,27.13,
39.0,8.0,9.19,7.14,1.0,0.0,9.0,5.0,11.89,0.71,37.93,Medium
34.0,,4.34,4.76,3.0,7.0,26.0,2.0,7.94,0.2,30.59,Low
26.0,16.0,10.74,4.86,6.0,3.0,13.0,6.0,13.81,1.52,62.75,Medium
31.0,15.0,8.05,6.85,1.0,,23.0,5.0,10.56,0.59,54.06,Medium
27.0,14.0,8.45,5.78,0.0,16.0,8.0,4.0,11.7,,42.29,Medium
34.0,2.0,12.74,7.87,7.0,17.0,16.0,7.0,17.1,1.93,90.88,High
22.0,19.0,8.62,6.73,6.0,2.0,2.0,7.0,12.98,1.84,51.74,Medium
33.0,4.0,4.21,6.17,5.0,17.0,11.0,2.0,8.11,0.21,37.08,Medium
36.0,4.0,6.27,8.81,4.0,6.0,11.0,7.0,11.08,1.8,27.54,Low
,19.0,8.76,5.95,0.0,16.0,10.0,9.0,12.12,1.78,65.02,Medium
37.0,14.0,8.24,6.0,5.0,17.0,21.0,8.0,9.27,1.27,74.56,High
27.0,17.0,12.6,7.33,5.0,19.0,28.0,9.0,14.76,1.06,85.01,High
23.0,14.0,9.42,8.05,7.0,7.0,3.0,2.0,11.73,0.43,53.35,Medium
21.0,1.0,10.9,7.13,1.0,10.0,7.0,7.0,14.09,0.24,67.97,Medium
25.0,12.0,8.69,7.49,2.0,2.0,9.0,7.0,13.31,1.21,28.27,Low
41.0,3.0,8.4,5.86,4.0,6.0,13.0,6.0,12.75,1.64,60.33,Medium
29.0,9.0,8.46,6.4,2.0,14.0,29.0,7.0,10.39,1.38,71.37,High
23.0,12.0,8.11,4.99,2.0,9.0,0.0,0.0,11.19,0.36,40.12,Medium
41.0,9.0,9.39,7.4,6.0,11.0,11.0,2.0,13.03,0.58,66.95,Medium
37.0,8.0,6.5,5.11,4.0,11.0,4.0,5.0,11.45,1.09,67.44,Medium
31.0,7.0,12.91,4.01,4.0,18.0,13.0,6.0,14.04,1.25,94.85,High
21.0,2.0,7.33,8.67,0.0,18.0,3.0,6.0,10.19,0.14,44.12,Medium
29.0,15.0,5.48,5.53,1.0,14.0,27.0,5.0,10.43,1.23,21.81,Low
23.0,13.0,4.97,4.98,2.0,4.0,16.0,3.0,9.88,1.47,11.49,Low
33.0,8.0,4.13,5.34,7.0,12.0,25.0,4.0,6.45,0.36,43.62,Medium
35.0,10.0,8.23,5.65,1.0,8.0,21.0,8.0,9.23,0.49,41.79,Medium
34.0,2.0,5.88,6.37,1.0,9.0,25.0,0.0,9.23,0.52,12.94,Low
27.0,4.0,4.22,4.35,7.0,7.0,12.0,1.0,8.69,1.88,32.7,Low
33.0,9.0,9.2,4.26,6.0,8.0,2.0,4.0,11.5,0.81,67.55,Medium
,12.0,10.8,5.46,3.0,5.0,10.0,4.0,15.54,1.06,47.26,Medium
44.0,3.0,4.86,5.48,0.0,17.0,10.0,6.0,7.19,1.45,59.52,Medium
27.0,12.0,8.61,4.59,2.0,9.0,4.0,7.0,12.05,0.74,50.52,Medium
40.0,11.0,11.44,6.02,5.0,14.0,5.0,9.0,15.33,0.21,100.0,High
35.0,4.0,13.86,5.42,4.0,12.0,3.0,5.0,16.24,1.31,85.75,High
32.0,9.0,10.67,4.13,4.0,10.0,9.0,5.0,13.08,1.33,74.13,High
37.0,8.0,6.45,8.43,1.0,1.0,9.0,4.0,9.33,0.52,14.94,Low
34.0,19.0,11.17,8.43,7.0,7.0,11.0,4.0,15.51,0.07,73.75,High
40.0,6.0,9.98,5.05,0.0,17.0,21.0,7.0,11.38,1.33,85.14,High
43.0,1.0,6.12,4.81,0.0,2.0,22.0,4.0,9.65,1.41,31.25,Low
44.0,6.0,12.51,6.74,2.0,2.0,17.0,5.0,16.22,0.05,48.16,Medium
32.0,7.0,8.27,7.15,2.0,6.0,29.0,2.0,11.5,1.39,24.92,Low
28.0,6.0,13.62,8.79,1.0,17.0,14.0,4.0,18.36,1.88,62.08,Medium
34.0,13.0,11.23,5.89,1.0,8.0,22.0,8.0,14.64,0.36,59.72,Medium
32.0,18.0,10.45,7.09,1.0,17.0,22.0,2.0,13.99,1.04,,Medium
20.0,4.0,11.28,8.39,3.0,0.0,17.0,7.0,14.68,1.39,23.31,Low
44.0,17.0,8.78,6.25,0.0,3.0,2.0,6.0,12.67,0.46,34.76,Low
26.0,19.0,9.05,4.61,1.0,3.0,2.0,3.0,10.59,1.5,30.82,Low
28.0,11.0,12.51,5.89,6.0,16.0,0.0,4.0,,1.74,84.17,High
43.0,16.0,10.81,4.68,0.0,1.0,16.0,7.0,11.98,1.63,38.74,Medium
20.0,12.0,12.97,4.08,5.0,14.0,9.0,9.0,16.53,0.52,100.0,High
31.0,1.0,12.91,7.76,4.0,12.0,26.0,6.0,16.37,1.61,94.11,High
27.0,12.0,13.76,5.19,4.0,8.0,5.0,9.0,15.59,0.83,92.27,High
43.0,6.0,11.0,4.01,0.0,6.0,24.0,9.0,12.16,0.53,66.48,Medium
30.0,9.0,9.02,8.36,5.0,11.0,24.0,1.0,10.58,0.34,47.32,Medium
38.0,5.0,5.66,6.22,4.0,11.0,10.0,7.0,7.75,1.82,46.08,Medium
36.0,2.0,11.05,5.19,4.0,13.0,13.0,7.0,15.58,0.85,100.0,High
27.0,2.0,6.92,5.31,4.0,14.0,16.0,8.0,11.34,1.73,61.98,Medium
22.0,17.0,6.83,5.2,2.0,0.0,27.0,1.0,8.09,0.32,23.62,Low
22.0,10.0,6.38,4.97,5.0,8.0,6.0,3.0,8.54,1.53,27.37,Low
20.0,19.0,12.75,8.21,7.0,15.0,21.0,1.0,17.31,0.22,69.62,Medium
24.0,4.0,12.68,4.85,2.0,8.0,3.0,3.0,,0.04,66.59,Medium
29.0,18.0,10.31,6.81,0.0,15.0,10.0,2.0,15.29,1.99,35.54,Medium
26.0,18.0,8.73,4.39,0.0,1.0,18.0,6.0,10.76,0.15,45.81,Medium
28.0,14.0,10.72,8.75,3.0,9.0,8.0,,14.68,0.92,52.52,Medium
26.0,15.0,10.07,7.02,7.0,17.0,25.0,6.0,12.74,1.76,80.74,High
28.0,8.0,8.16,8.52,2.0,12.0,20.0,1.0,9.7,1.64,13.41,Low
27.0,3.0,7.8,5.99,0.0,1.0,7.0,3.0,9.82,0.94,11.68,Low
31.0,14.0,7.83,8.05,7.0,12.0,19.0,5.0,11.53,1.22,49.9,Medium
21.0,11.0,9.89,8.27,2.0,2.0,3.0,4.0,12.24,1.26,18.4,Low
20.0,2.0,10.48,7.51,3.0,14.0,15.0,1.0,13.9,0.22,37.85,Medium
35.0,13.0,8.52,4.46,0.0,2.0,5.0,6.0,10.34,0.57,53.49,Medium
42.0,16.0,13.69,4.08,0.0,9.0,5.0,1.0,16.48,0.6,85.23,High
42.0,18.0,4.84,4.84,0.0,5.0,18.0,8.0,7.89,0.76,46.48,Medium
43.0,5.0,7.47,4.59,0.0,13.0,1.0,6.0,10.12,0.55,63.16,Medium
24.0,3.0,8.19,7.63,1.0,8.0,10.0,2.0,9.98,0.5,25.99,Low
22.0,6.0,4.17,6.79,5.0,17.0,24.0,5.0,7.02,0.71,70.82,High
31.0,18.0,7.65,6.63,5.0,,17.0,4.0,11.42,0.76,54.65,Medium
27.0,16.0,6.74,5.26,2.0,5.0,8.0,8.0,11.6,0.97,37.59,Medium
41.0,15.0,9.06,4.77,2.0,14.0,27.0,2.0,13.22,0.35,77.57,High
22.0,14.0,7.36,5.03,7.0,13.0,15.0,1.0,9.01,1.58,53.43,Medium
20.0,7.0,11.26,6.0,7.0,14.0,10.0,1.0,13.35,1.72,81.9,High
22.0,18.0,9.1,7.7,2.0,19.0,13.0,3.0,10.42,0.5,79.14,High
24.0,7.0,5.3,5.27,3.0,5.0,7.0,0.0,6.84,0.25,13.55,Low
34.0,17.0,11.5,7.49,6.0,11.0,26.0,8.0,13.5,1.44,76.99,High
33.0,,4.99,6.46,1.0,9.0,12.0,2.0,6.79,1.85,18.34,Low
22.0,19.0,,8.43,6.0,18.0,9.0,4.0,14.24,0.07,88.81,High
20.0,18.0,13.31,5.16,2.0,7.0,22.0,,15.23,0.03,56.48,Medium
24.0,9.0,7.22,6.25,7.0,4.0,11.0,7.0,9.42,0.37,53.37,Medium
42.0,16.0,13.26,4.48,7.0,9.0,20.0,2.0,14.76,1.37,76.6,High
33.0,12.0,11.93,5.68,2.0,10.0,28.0,4.0,14.04,1.93,60.52,Medium
26.0,12.0,13.22,6.53,0.0,19.0,2.0,6.0,16.97,1.5,72.74,High
28.0,6.0,10.66,7.66,7.0,13.0,1.0,1.0,12.61,,57.58,Medium
34.0,9.0,6.36,4.99,6.0,13.0,10.0,2.0,8.05,1.4,70.27,High
34.0,1.0,12.95,5.09,7.0,1.0,23.0,7.0,14.22,0.46,83.65,High
29.0,3.0,5.84,7.16,0.0,16.0,17.0,9.0,8.84,1.38,49.5,Medium
32.0,5.0,6.13,5.91,7.0,14.0,23.0,7.0,10.5,0.64,72.19,High
38.0,17.0,6.71,6.41,6.0,2.0,20.0,2.0,7.95,0.44,41.8,Medium
26.0,5.0,7.04,8.18,,2.0,24.0,9.0,10.21,0.47,35.94,Medium
36.0,16.0,9.14,6.5,0.0,2.0,3.0,6.0,12.74,1.34,51.86,Medium
39.0,13.0,11.13,7.26,2.0,2.0,7.0,1.0,14.5,1.53,19.28,Low
23.0,10.0,13.26,7.28,0.0,17.0,28.0,8.0,17.77,1.16,85.48,High
24.0,,4.88,8.02,2.0,5.0,10.0,7.0,9.35,0.13,21.9,Low
42.0,1.0,13.54,7.19,6.0,13.0,14.0,,14.77,0.08,100.0,High
26.0,2.0,13.21,4.32,3.0,2.0,22.0,8.0,15.65,0.43,69.56,Medium
32.0,10.0,4.54,5.71,3.0,0.0,27.0,6.0,8.22,0.57,31.65,Low
34.0,5.0,7.6,8.95,4.0,9.0,23.0,3.0,12.41,0.81,31.31,Low
30.0,13.0,12.13,4.98,7.0,12.0,20.0,4.0,16.35,0.15,91.36,High
23.0,18.0,10.12,6.93,1.0,8.0,1.0,6.0,11.83,1.45,63.48,Medium
32.0,15.0,11.79,8.21,0.0,1.0,22.0,4.0,13.91,1.42,37.83,Medium
26.0,6.0,11.19,6.93,5.0,9.0,18.0,9.0,15.24,0.69,92.55,High
38.0,7.0,8.97,5.86,0.0,11.0,14.0,7.0,11.86,1.13,69.2,Medium
41.0,18.0,4.41,4.4,1.0,18.0,28.0,4.0,7.6,0.2,79.65,High
21.0,19.0,9.84,5.81,7.0,2.0,25.0,4.0,13.28,0.83,63.34,Medium
29.0,15.0,4.49,4.91,7.0,18.0,25.0,4.0,5.9,1.72,57.44,Medium
32.0,6.0,,8.8,6.0,0.0,25.0,3.0,14.46,1.32,30.01,Low
44.0,8.0,12.0,7.58,1.0,14.0,27.0,6.0,16.45,0.21,93.99,High
40.0,12.0,,7.75,6.0,12.0,26.0,1.0,12.72,1.7,51.96,Medium
25.0,0.0,13.97,6.18,4.0,6.0,25.0,9.0,17.48,1.36,90.61,High
31.0,7.0,8.56,4.55,1.0,1.0,12.0,3.0,12.2,0.91,45.25,Medium
31.0,3.0,11.49,5.33,2.0,19.0,1.0,2.0,13.25,1.38,74.21,High
39.0,2.0,10.67,5.3,0.0,10.0,2.0,9.0,12.12,0.35,68.94,Medium
30.0,2.0,13.91,6.43,1.0,15.0,29.0,7.0,14.99,1.1,97.54,High
42.0,12.0,11.13,6.3,2.0,13.0,13.0,6.0,15.78,1.24,67.87,Medium
44.0,7.0,5.64,6.17,1.0,14.0,19.0,2.0,8.02,1.86,45.92,Medium
26.0,6.0,13.56,6.48,5.0,19.0,25.0,3.0,14.9,0.13,74.28,High
20.0,0.0,10.68,8.94,2.0,18.0,12.0,3.0,13.54,0.75,58.43,Medium
20.0,,4.59,5.49,3.0,6.0,26.0,9.0,5.89,1.87,40.25,Medium
44.0,5.0,10.58,7.08,7.0,8.0,22.0,6.0,11.92,0.43,64.74,Medium
,6.0,12.83,5.2,2.0,3.0,25.0,7.0,15.79,1.63,81.52,High
39.0,11.0,,6.33,4.0,5.0,15.0,3.0,12.81,0.0,53.93,Medium
32.0,8.0,7.54,5.0,6.0,9.0,11.0,7.0,10.86,0.05,63.01,Medium
28.0,10.0,12.21,6.79,2.0,2.0,0.0,0.0,15.84,0.66,42.35,Medium
22.0,9.0,11.83,5.33,1.0,0.0,5.0,8.0,15.5,1.54,43.22,
26.0,0.0,9.44,4.18,3.0,5.0,12.0,6.0,,0.21,69.95,Medium
25.0,17.0,5.54,8.08,7.0,4.0,21.0,3.0,9.11,0.77,37.09,Medium
27.0,3.0,6.51,4.64,7.0,14.0,23.0,7.0,8.73,0.26,75.52,High
28.0,4.0,11.38,5.84,3.0,10.0,1.0,9.0,14.15,0.45,85.54,High
24.0,8.0,12.06,6.39,2.0,19.0,17.0,1.0,14.63,1.01,64.71,Medium
20.0,16.0,6.79,6.16,1.0,12.0,16.0,7.0,9.11,0.64,46.82,Medium
38.0,2.0,7.68,7.63,7.0,5.0,18.0,9.0,9.63,0.42,68.6,Medium
29.0,15.0,4.78,6.98,3.0,4.0,22.0,5.0,6.09,0.79,21.16,Low
31.0,4.0,11.13,5.48,5.0,1.0,14.0,6.0,14.15,1.4,80.33,High
43.0,15.0,4.04,4.26,2.0,16.0,7.0,6.0,7.19,0.24,62.99,Medium
34.0,2.0,4.47,,2.0,11.0,22.0,1.0,6.81,0.96,5.05,Low
41.0,19.0,4.04,5.76,6.0,11.0,8.0,1.0,8.94,0.55,55.71,Medium
43.0,14.0,10.45,8.45,7.0,13.0,7.0,3.0,13.68,0.76,50.56,Medium
28.0,2.0,8.17,5.98,7.0,6.0,7.0,5.0,12.73,1.64,47.09,Medium
39.0,19.0,6.98,7.59,7.0,13.0,10.0,3.0,10.26,1.86,47.17,Medium
36.0,13.0,13.13,8.7,2.0,,17.0,5.0,14.89,0.49,63.74,Medium
36.0,15.0,5.93,7.26,3.0,8.0,16.0,4.0,10.83,1.26,23.32,Low
39.0,16.0,7.89,6.07,0.0,13.0,21.0,5.0,12.43,1.35,50.73,Medium
31.0,19.0,13.4,6.84,1.0,16.0,22.0,8.0,16.29,1.68,100.0,High
26.0,17.0,8.27,6.72,4.0,16.0,5.0,5.0,10.24,1.8,75.15,High
21.0,17.0,9.55,6.92,4.0,12.0,22.0,5.0,11.44,0.94,81.8,High
22.0,13.0,4.8,4.73,7.0,17.0,23.0,7.0,9.02,1.97,56.74,Medium
36.0,17.0,11.9,7.49,1.0,18.0,1.0,4.0,13.18,1.94,73.98,High
24.0,14.0,8.23,4.73,0.0,16.0,0.0,4.0,11.78,1.01,66.92,Medium
36.0,14.0,12.01,4.07,6.0,5.0,9.0,9.0,15.57,1.08,70.3,High
43.0,5.0,6.54,7.12,6.0,11.0,7.0,0.0,8.27,1.34,29.61,Low
36.0,14.0,8.22,4.58,6.0,5.0,15.0,5.0,12.04,0.75,62.75,Medium
36.0,17.0,11.87,7.85,6.0,2.0,23.0,0.0,15.69,1.32,37.02,Medium
21.0,3.0,13.74,8.33,1.0,14.0,13.0,7.0,16.14,1.03,75.53,High
21.0,7.0,4.6,8.72,2.0,,23.0,9.0,7.53,0.07,27.66,Low
41.0,14.0,12.12,7.32,5.0,14.0,15.0,8.0,16.45,1.71,98.03,High
42.0,2.0,7.01,6.41,1.0,0.0,13.0,5.0,10.1,1.88,20.09,Low
24.0,14.0,9.51,5.76,1.0,2.0,25.0,8.0,12.98,0.05,33.76,Low
20.0,12.0,6.9,6.45,5.0,4.0,6.0,1.0,9.55,1.58,34.87,Low
20.0,8.0,10.13,4.95,3.0,13.0,17.0,8.0,11.73,0.77,71.24,High
38.0,1.0,7.54,5.74,4.0,3.0,19.0,3.0,12.53,1.17,21.1,Low
21.0,7.0,7.34,7.59,7.0,8.0,8.0,2.0,10.47,1.0,40.88,Medium
40.0,19.0,4.38,5.09,4.0,17.0,23.0,0.0,6.73,1.1,41.71,Medium
31.0,16.0,5.47,5.32,7.0,9.0,3.0,0.0,9.33,0.99,27.55,Low
25.0,12.0,13.17,7.75,2.0,7.0,23.0,7.0,16.65,1.71,73.59,High
42.0,0.0,13.98,4.89,5.0,12.0,25.0,1.0,15.91,1.37,81.21,High
23.0,1.0,11.81,5.23,6.0,1.0,28.0,0.0,16.32,0.83,33.42,Low
42.0,14.0,6.87,4.09,6.0,19.0,15.0,1.0,8.15,1.38,54.86,Medium
,11.0,8.02,7.6,2.0,19.0,21.0,2.0,11.44,1.93,45.83,Medium
,13.0,11.4,7.09,3.0,6.0,10.0,3.0,14.31,0.16,55.98,Medium
36.0,1.0,13.69,7.47,2.0,10.0,8.0,8.0,15.96,0.78,77.97,High
25.0,17.0,8.55,5.07,5.0,4.0,16.0,6.0,12.86,1.74,32.0,Low
43.0,6.0,12.3,7.44,5.0,17.0,21.0,4.0,15.93,1.48,73.98,High
24.0,5.0,13.75,6.98,0.0,7.0,10.0,4.0,17.79,1.87,64.73,Medium
39.0,13.0,12.73,5.83,3.0,9.0,19.0,5.0,15.39,0.08,80.22,High
21.0,7.0,6.27,6.19,5.0,1.0,2.0,0.0,11.04,1.73,19.83,Low
25.0,1.0,4.08,6.84,5.0,2.0,20.0,5.0,,1.58,22.61,Low
41.0,16.0,8.92,6.47,3.0,4.0,,5.0,12.04,1.63,22.87,Low
30.0,4.0,9.31,7.21,6.0,15.0,10.0,4.0,14.04,1.19,59.74,Medium
35.0,13.0,6.01,4.9,1.0,9.0,7.0,9.0,7.34,,64.45,Medium
35.0,19.0,6.85,6.7,6.0,10.0,26.0,8.0,8.29,1.08,63.64,Medium
20.0,2.0,11.65,6.25,,18.0,9.0,9.0,16.63,0.82,99.68,High
28.0,4.0,8.7,6.31,0.0,15.0,5.0,9.0,13.59,1.05,80.57,High
25.0,15.0,7.17,6.35,6.0,11.0,16.0,4.0,11.26,1.48,62.38,Medium
35.0,17.0,10.23,8.41,5.0,1.0,5.0,8.0,13.17,1.19,30.72,Low
22.0,16.0,10.53,8.09,3.0,10.0,6.0,9.0,13.55,0.59,66.73,Medium
39.0,10.0,11.69,7.15,3.0,0.0,12.0,6.0,13.72,1.2,54.91,Medium
23.0,16.0,5.57,7.58,7.0,4.0,5.0,2.0,8.3,0.17,33.08,Low
38.0,15.0,11.42,,1.0,13.0,2.0,8.0,14.15,0.01,100.0,High
22.0,1.0,9.99,7.72,6.0,,26.0,9.0,11.13,0.8,100.0,High
38.0,3.0,4.58,6.43,4.0,6.0,24.0,6.0,7.39,1.51,39.64,Medium
39.0,6.0,11.77,5.59,4.0,4.0,12.0,3.0,14.69,1.65,49.05,
26.0,1.0,7.83,4.7,5.0,7.0,9.0,8.0,11.49,1.1,71.94,High
39.0,5.0,7.3,4.38,1.0,14.0,25.0,5.0,10.37,1.74,75.7,High
28.0,16.0,8.48,,5.0,4.0,3.0,8.0,12.93,0.25,,High
20.0,6.0,7.46,4.81,2.0,12.0,4.0,3.0,9.93,1.93,49.79,Medium
27.0,4.0,7.38,4.15,3.0,18.0,20.0,9.0,10.02,1.84,95.2,High
26.0,,12.08,7.66,6.0,1.0,18.0,1.0,15.37,1.2,43.63,Medium
37.0,19.0,5.25,5.24,6.0,4.0,27.0,8.0,,0.12,,Medium
27.0,15.0,13.71,5.84,5.0,4.0,17.0,9.0,16.28,0.91,84.06,High
20.0,18.0,9.55,8.11,0.0,5.0,,3.0,13.29,0.36,19.31,Low
30.0,8.0,,4.57,6.0,15.0,6.0,1.0,8.48,1.26,59.79,Medium
44.0,4.0,5.31,8.18,4.0,1.0,20.0,6.0,9.94,0.38,19.62,Low
44.0,7.0,9.92,7.2,5.0,4.0,28.0,6.0,13.38,0.96,54.14,Medium
37.0,8.0,10.33,5.71,2.0,14.0,0.0,4.0,11.95,0.41,76.57,High
42.0,4.0,4.53,4.59,3.0,0.0,25.0,4.0,7.48,0.36,15.41,Low
29.0,9.0,6.43,4.46,7.0,18.0,16.0,7.0,10.49,0.5,92.33,High
22.0,1.0,11.95,5.68,6.0,2.0,23.0,5.0,15.52,0.06,66.97,Medium
26.0,8.0,4.5,4.7,7.0,18.0,19.0,0.0,9.04,1.43,46.19,Medium
35.0,10.0,12.55,5.34,2.0,14.0,28.0,3.0,16.55,0.61,48.28,Medium
35.0,3.0,10.58,4.26,7.0,2.0,19.0,0.0,11.83,1.4,49.11,Medium
44.0,1.0,8.34,6.98,5.0,7.0,29.0,4.0,9.79,1.31,34.63,Low
39.0,5.0,7.46,4.73,3.0,14.0,24.0,4.0,11.06,,60.88,Medium
36.0,13.0,4.19,7.78,3.0,0.0,17.0,3.0,6.14,0.62,0.0,Low
21.0,0.0,12.25,5.09,1.0,5.0,4.0,8.0,15.6,1.13,64.9,Medium
20.0,17.0,5.43,7.99,1.0,16.0,21.0,7.0,9.6,1.84,39.47,Medium
35.0,6.0,7.1,4.95,7.0,15.0,5.0,9.0,10.41,0.8,88.32,High
31.0,0.0,9.69,7.61,0.0,12.0,9.0,2.0,12.35,1.01,58.65,Medium
24.0,0.0,6.46,5.67,0.0,0.0,27.0,4.0,10.05,1.5,16.42,Low
24.0,0.0,8.97,6.92,6.0,2.0,29.0,5.0,10.54,1.61,36.26,Medium
42.0,3.0,12.09,4.19,7.0,5.0,18.0,4.0,15.98,1.85,67.96,Medium
28.0,3.0,8.71,6.48,2.0,19.0,9.0,7.0,12.5,0.99,85.9,High
28.0,17.0,13.49,4.74,1.0,2.0,5.0,4.0,16.55,0.39,69.53,Medium
22.0,10.0,12.48,6.43,3.0,14.0,9.0,7.0,14.6,1.53,72.17,High
38.0,0.0,7.33,4.71,1.0,14.0,9.0,9.0,11.52,0.25,67.24,Medium
35.0,9.0,8.0,6.19,7.0,10.0,20.0,9.0,11.04,0.84,72.88,High
35.0,8.0,8.23,4.55,3.0,5.0,11.0,2.0,9.47,1.26,37.06,Medium
22.0,3.0,10.26,5.1,1.0,5.0,23.0,4.0,14.93,1.38,42.65,Medium
39.0,5.0,6.87,6.98,3.0,8.0,3.0,3.0,10.94,1.47,28.35,Low
43.0,15.0,13.69,8.88,7.0,13.0,12.0,5.0,17.03,0.39,88.96,High
,1.0,10.09,6.25,2.0,10.0,25.0,2.0,12.84,1.96,49.67,Medium
43.0,17.0,7.99,7.44,1.0,5.0,9.0,9.0,12.83,0.36,47.98,Medium
20.0,9.0,10.45,6.7,4.0,17.0,15.0,3.0,14.55,0.19,84.89,High
43.0,16.0,7.95,6.49,4.0,19.0,18.0,3.0,,1.33,66.82,Medium
